"id","gender","region","highest_education","age_band","disability","course","final_result","weekNo","homepage","content","url","quiz","glossary","forum","wiki"
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","0",64,140,20,0,0,77,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","1",11,0,5,0,0,22,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","2",14,46,4,0,0,12,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","3",9,177,0,0,0,6,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","4",11,31,0,0,0,20,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","5",11,1,7,0,0,9,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","6",2,0,3,0,0,3,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","7",16,46,0,0,0,31,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","8",14,31,0,0,0,12,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","9",14,19,2,0,0,25,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","10",15,95,0,0,0,15,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","11",7,31,0,0,0,7,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","12",1,0,0,0,0,1,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","13",1,0,0,0,0,2,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","14",3,0,0,0,0,15,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","15",10,0,5,0,0,14,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","16",15,44,2,0,0,11,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","17",7,9,0,0,0,1,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","18",20,88,20,0,0,16,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","19",17,61,5,0,0,16,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","20",7,26,2,0,0,0,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","22",12,0,18,0,0,3,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","23",17,66,10,0,0,4,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","24",23,110,16,0,0,0,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","25",11,69,4,0,0,0,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","26",6,19,0,0,0,5,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","27",14,64,5,0,0,0,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","28",12,18,6,0,0,9,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","29",32,10,3,0,0,32,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","30",16,26,1,0,0,9,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","31",17,20,0,0,0,17,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","32",14,97,1,0,0,6,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","33",14,58,2,0,0,4,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","34",7,60,0,0,0,0,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","38",2,0,0,0,0,0,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","-3",16,59,0,0,0,33,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","-2",14,15,2,0,0,13,0
"6516","Male","Scotland",,"thired",false,"AAA2014J","Pass","-1",1,0,0,0,0,1,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","0",2,0,0,0,0,5,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","1",5,7,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","2",7,15,0,0,0,14,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","3",5,0,0,0,0,15,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","4",5,9,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","6",2,0,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","8",5,0,1,0,0,9,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","9",4,23,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","10",2,0,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","11",1,1,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","12",6,4,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","13",3,1,0,0,0,2,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","14",2,0,0,0,0,6,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","15",1,0,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","16",9,1,1,0,0,11,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","17",4,6,1,0,0,3,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","18",1,1,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","19",3,0,0,0,0,6,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","21",1,0,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","23",7,7,0,0,0,5,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","25",4,0,0,0,0,11,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","26",1,11,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","27",1,0,0,0,0,3,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","28",3,3,0,0,0,2,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","29",10,4,0,0,0,27,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","30",9,10,5,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","31",4,3,0,0,0,14,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","32",2,0,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","33",10,44,0,0,0,26,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","34",2,2,1,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","36",2,0,0,0,0,0,0
"24734","Female","South Region",,"first",false,"AAA2014J","Pass","-2",15,14,0,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","0",63,153,23,0,0,3,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","1",22,37,7,0,0,5,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","2",34,44,13,0,0,7,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","3",32,90,10,0,0,7,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","4",16,42,5,0,0,2,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","5",19,14,7,0,0,7,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","6",8,3,3,0,0,1,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","7",42,43,15,0,0,30,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","8",9,26,0,0,0,3,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","10",3,23,0,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","12",6,34,0,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","13",6,47,0,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","14",13,44,2,0,0,6,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","15",15,23,5,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","16",17,38,7,0,0,6,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","17",9,39,0,0,0,13,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","18",28,88,8,0,0,1,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","19",19,48,4,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","20",6,30,1,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","21",10,27,3,0,0,1,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","22",5,8,3,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","23",24,15,14,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","24",2,11,0,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","25",4,12,1,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","27",7,46,1,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","28",1,1,0,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","29",5,0,3,0,0,1,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","30",27,6,16,0,0,18,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","31",3,0,0,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","32",1,0,0,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","33",2,1,0,0,0,2,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","34",33,93,3,0,0,2,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","36",1,0,0,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","-2",5,18,1,0,0,0,0
"26192","Female","East Anglian Region",,"second",false,"AAA2014J","Distinction","-1",28,54,7,0,0,4,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","0",21,59,4,0,0,9,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","1",6,1,0,0,0,24,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","2",18,12,6,0,0,37,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","3",30,29,6,0,0,27,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","4",19,31,5,0,0,6,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","5",10,32,0,0,0,21,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","6",14,9,5,0,0,9,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","7",20,9,9,0,0,11,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","8",11,16,6,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","9",5,14,0,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","10",18,20,3,0,0,1,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","11",1,7,0,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","12",2,19,0,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","13",10,21,0,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","14",10,43,4,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","15",9,4,3,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","16",11,7,15,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","17",6,8,1,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","18",14,21,3,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","19",11,34,3,0,0,12,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","20",3,11,0,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","21",5,1,3,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","22",8,3,4,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","23",11,4,11,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","24",2,4,0,0,0,1,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","26",4,7,1,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","27",7,10,1,0,0,6,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","28",11,10,4,0,0,23,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","29",4,5,3,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","30",5,0,3,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","31",9,22,0,0,0,13,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","32",2,0,0,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","33",7,3,0,0,0,34,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","34",8,10,0,0,0,19,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","35",1,0,0,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","36",3,0,0,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","37",4,0,0,0,0,1,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","38",1,0,0,0,0,0,0
"28061","Male","Yorkshire Region",,"second",false,"AAA2014J","Pass","-3",13,20,0,0,0,13,0
