id_student,gender,region,highest_education,age_band,disability
6516,M,Scotland,HE Qualification,thired,N
24734,F,South Region,Lower Than A Level,first,N
26192,F,East Anglian Region,A Level or Equivalent,second,N
28061,M,Yorkshire Region,Lower Than A Level,second,N
31600,F,South West Region,A Level or Equivalent,first,N
46844,M,North Region,HE Qualification,second,N
52765,F,Yorkshire Region,Lower Than A Level,second,N
55104,F,West Midlands Region,A Level or Equivalent,first,N
58071,M,East Anglian Region,HE Qualification,thired,N
58316,F,Wales,A Level or Equivalent,first,N
62487,F,East Midlands Region,A Level or Equivalent,first,N
63165,M,South East Region,A Level or Equivalent,second,N
65002,F,East Anglian Region,A Level or Equivalent,first,N
70011,F,Scotland,HE Qualification,first,N
75255,M,North Western Region,A Level or Equivalent,first,N
79403,M,South Region,Lower Than A Level,second,N
85092,F,South West Region,Lower Than A Level,first,N
85144,M,Scotland,A Level or Equivalent,second,N
85302,M,London Region,Lower Than A Level,second,N
87431,M,South East Region,Lower Than A Level,second,N
94961,M,South Region,Lower Than A Level,second,N
95755,M,South East Region,Lower Than A Level,first,N
101116,F,East Anglian Region,Lower Than A Level,second,N
107489,F,London Region,HE Qualification,first,N
108872,M,London Region,HE Qualification,thired,N
109155,F,South Region,HE Qualification,first,N
111512,M,Wales,A Level or Equivalent,first,N
117818,F,London Region,A Level or Equivalent,second,N
119902,F,South West Region,A Level or Equivalent,second,N
121349,F,South West Region,A Level or Equivalent,second,N
124064,F,South East Region,A Level or Equivalent,first,N
125018,M,South Region,HE Qualification,second,N
129955,M,West Midlands Region,A Level or Equivalent,first,N
130034,F,East Anglian Region,A Level or Equivalent,second,N
130547,F,South Region,A Level or Equivalent,second,N
130636,M,South East Region,A Level or Equivalent,first,N
131390,M,East Anglian Region,A Level or Equivalent,second,N
133816,F,South Region,A Level or Equivalent,second,N
133922,M,North Region,Lower Than A Level,first,N
135335,F,East Anglian Region,Lower Than A Level,first,N
135400,F,South East Region,Lower Than A Level,second,Y
135471,M,East Anglian Region,Lower Than A Level,second,N
139033,M,South East Region,A Level or Equivalent,second,N
141377,M,South West Region,A Level or Equivalent,first,N
141506,M,Scotland,A Level or Equivalent,second,N
146503,M,East Anglian Region,Lower Than A Level,second,Y
147756,M,North Region,Lower Than A Level,first,N
148993,F,North Western Region,A Level or Equivalent,second,Y
149741,F,Scotland,A Level or Equivalent,second,N
149962,M,West Midlands Region,A Level or Equivalent,first,N
151587,F,Wales,A Level or Equivalent,first,N
152668,F,South Region,Lower Than A Level,first,N
155984,F,East Anglian Region,Lower Than A Level,first,N
158707,F,South East Region,A Level or Equivalent,first,N
159954,M,East Midlands Region,A Level or Equivalent,second,N
164944,F,East Anglian Region,A Level or Equivalent,first,Y
165226,F,Wales,A Level or Equivalent,first,N
167961,M,South West Region,HE Qualification,thired,N
174024,M,North Region,A Level or Equivalent,second,N
174094,F,South East Region,Lower Than A Level,second,Y
174745,F,East Midlands Region,A Level or Equivalent,second,N
175447,M,London Region,A Level or Equivalent,second,N
175772,F,East Anglian Region,HE Qualification,second,N
183057,M,Wales,Lower Than A Level,first,N
185350,M,Yorkshire Region,Lower Than A Level,second,N
188278,M,Yorkshire Region,A Level or Equivalent,second,N
199636,M,East Anglian Region,A Level or Equivalent,second,N
199897,M,East Midlands Region,HE Qualification,second,N
200804,M,South Region,A Level or Equivalent,first,N
205494,M,South West Region,HE Qualification,second,N
228021,M,Scotland,A Level or Equivalent,second,N
228383,M,Yorkshire Region,HE Qualification,first,N
232307,M,South Region,Lower Than A Level,second,N
235068,F,East Midlands Region,Lower Than A Level,second,N
235507,M,Yorkshire Region,A Level or Equivalent,first,N
236875,M,West Midlands Region,A Level or Equivalent,first,N
237274,M,Yorkshire Region,A Level or Equivalent,first,N
243510,F,South West Region,Lower Than A Level,first,N
244246,F,South East Region,A Level or Equivalent,first,N
248581,F,West Midlands Region,A Level or Equivalent,first,N
252073,F,Yorkshire Region,A Level or Equivalent,second,N
254625,M,Wales,A Level or Equivalent,second,N
258587,M,South West Region,A Level or Equivalent,second,N
260355,F,London Region,A Level or Equivalent,second,N
260623,M,South East Region,Lower Than A Level,first,N
263251,M,East Anglian Region,A Level or Equivalent,second,N
263543,M,East Anglian Region,Lower Than A Level,second,N
263952,M,North Region,Lower Than A Level,second,N
266524,F,South Region,A Level or Equivalent,first,N
268733,M,East Anglian Region,A Level or Equivalent,first,N
273346,M,East Midlands Region,Lower Than A Level,second,N
274947,M,East Anglian Region,Lower Than A Level,first,N
275674,F,London Region,A Level or Equivalent,first,N
275792,F,East Anglian Region,HE Qualification,first,N
277123,F,East Midlands Region,A Level or Equivalent,second,N
277880,F,South East Region,A Level or Equivalent,first,N
281077,F,East Anglian Region,HE Qualification,first,N
