id_assessment,id_student,date_submitted,score,code_module,code_presentation
1752,11391,18,78,AAA,2013J
1752,28400,22,70,AAA,2013J
1752,31604,17,72,AAA,2013J
1752,32885,26,69,AAA,2013J
1752,38053,19,79,AAA,2013J
1752,45462,20,70,AAA,2013J
1752,45642,18,72,AAA,2013J
1752,52130,19,72,AAA,2013J
1752,53025,9,71,AAA,2013J
1752,57506,18,68,AAA,2013J
1752,58873,19,73,AAA,2013J
1752,59185,18,67,AAA,2013J
1752,62155,17,73,AAA,2013J
1752,63400,19,83,AAA,2013J
1752,65002,17,66,AAA,2013J
1752,70464,19,59,AAA,2013J
1752,71361,19,82,AAA,2013J
1752,74372,22,60,AAA,2013J
1752,75091,18,67,AAA,2013J
1752,77367,18,73,AAA,2013J
1752,91265,21,75,AAA,2013J
1752,94961,17,74,AAA,2013J
1752,98094,18,62,AAA,2013J
1752,100893,17,63,AAA,2013J
1752,101781,16,84,AAA,2013J
1752,102806,19,80,AAA,2013J
1752,102952,19,76,AAA,2013J
1752,104476,30,85,AAA,2013J
1752,106247,32,67,AAA,2013J
1752,106577,18,57,AAA,2013J
1752,110175,18,66,AAA,2013J
1752,111717,10,80,AAA,2013J
1752,113295,19,81,AAA,2013J
1752,114017,18,66,AAA,2013J
1752,114999,18,74,AAA,2013J
1752,116541,19,76,AAA,2013J
1752,116692,16,72,AAA,2013J
1752,118983,19,73,AAA,2013J
1752,123044,25,75,AAA,2013J
1752,127582,26,69,AAA,2013J
1752,129955,18,85,AAA,2013J
1752,132976,18,63,AAA,2013J
1752,134143,18,87,AAA,2013J
1752,135400,19,72,AAA,2013J
1752,137873,15,72,AAA,2013J
1752,141355,19,77,AAA,2013J
1752,141377,54,45,AAA,2013J
1752,142326,17,65,AAA,2013J
1752,144801,19,61,AAA,2013J
1752,145130,19,75,AAA,2013J
1752,146188,19,52,AAA,2013J
1752,147756,18,77,AAA,2013J
1752,147793,32,52,AAA,2013J
1752,148993,25,68,AAA,2013J
1752,151358,17,54,AAA,2013J
1752,155550,19,75,AAA,2013J
1752,155854,18,82,AAA,2013J
1752,155984,19,85,AAA,2013J
1752,157568,18,79,AAA,2013J
1752,159954,19,65,AAA,2013J
1752,164259,18,82,AAA,2013J
1752,167906,19,60,AAA,2013J
1752,168936,19,76,AAA,2013J
1752,172112,19,60,AAA,2013J
1752,172797,18,60,AAA,2013J
1752,174782,17,83,AAA,2013J
1752,175392,16,85,AAA,2013J
1752,175932,18,76,AAA,2013J
1752,175991,15,51,AAA,2013J
1752,180753,18,61,AAA,2013J
1752,181316,20,76,AAA,2013J
1752,183096,19,57,AAA,2013J
1752,183947,19,67,AAA,2013J
1752,184271,18,65,AAA,2013J
1752,185439,24,74,AAA,2013J
1752,186149,33,85,AAA,2013J
1752,187100,17,88,AAA,2013J
1752,188278,19,76,AAA,2013J
1752,189879,19,76,AAA,2013J
1752,192183,19,75,AAA,2013J
1752,200860,18,69,AAA,2013J
1752,202635,27,68,AAA,2013J
1752,205350,19,75,AAA,2013J
1752,205719,19,67,AAA,2013J
1752,227499,19,84,AAA,2013J
1752,227517,18,63,AAA,2013J
1752,228082,19,58,AAA,2013J
1752,228222,19,71,AAA,2013J
1752,229179,19,64,AAA,2013J
1752,229361,18,81,AAA,2013J
1752,231554,19,80,AAA,2013J
1752,235507,18,65,AAA,2013J
1752,236284,23,85,AAA,2013J
1752,238007,19,83,AAA,2013J
1752,240712,19,82,AAA,2013J
1752,240884,18,74,AAA,2013J
1752,241649,16,85,AAA,2013J
1752,241729,19,51,AAA,2013J
1752,242793,18,66,AAA,2013J
1752,246834,18,60,AAA,2013J
1752,248270,19,77,AAA,2013J
1752,255548,19,84,AAA,2013J
1752,256815,37,71,AAA,2013J
1752,258392,18,58,AAA,2013J
1752,258894,19,58,AAA,2013J
1752,260355,21,55,AAA,2013J
1752,262011,18,60,AAA,2013J
1752,262934,18,81,AAA,2013J
1752,268073,18,64,AAA,2013J
1752,268733,29,51,AAA,2013J
1752,271251,19,80,AAA,2013J
1752,277880,20,70,AAA,2013J
1752,279572,18,79,AAA,2013J
1752,281022,18,70,AAA,2013J
1752,281250,18,63,AAA,2013J
1752,282821,19,61,AAA,2013J
1752,286488,18,55,AAA,2013J
1752,287548,21,69,AAA,2013J
1752,290201,18,78,AAA,2013J
1752,290757,18,75,AAA,2013J
1752,291334,18,85,AAA,2013J
1752,294570,16,72,AAA,2013J
1752,294594,18,61,AAA,2013J
1752,295741,18,38,AAA,2013J
1752,296332,18,91,AAA,2013J
1752,298696,19,77,AAA,2013J
1752,300398,20,82,AAA,2013J
1752,302302,18,58,AAA,2013J
1752,305152,19,64,AAA,2013J
